source_id,source_name,reference_id,reference_name,reference_path,method,confidence
25328,Станки,24490,Станки,Релоадинг > Для гладкоствола > Станки,exact,high
25329,Матриці,24442,Матриці,Релоадинг > Матриці,exact,high
25330,Аксесуари,24393,Аксесуари,Оптика > Приціли та прилади нічного бачення (ПНБ) > Аксесуари,exact,high
25332,Преси,24441,Преси,Релоадинг > Преси,exact,high
25334,Шелхолдери,24477,Шелхолдери,Релоадинг > Для нарізного > Шелхолдери,exact,high
25337,Воронки для пороха,24480,Воронки для пороха,Релоадинг > Для нарізного > Воронки для пороха,exact,high
25339,Капсулятори,24491,Капсулятори,Релоадинг > Для нарізного > Капсулятори,exact,high
25340,Де-капсулятори,24481,Де-капсулятори,Релоадинг > Для нарізного > Де-капсулятори,exact,high
25341,Депулери,24482,Депулери,Релоадинг > Для нарізного > Депулери,exact,high
25318,Веси для пороха,24488,Вимірювальний інструмент,Релоадинг > Вимірювальний інструмент,ai_deep,high
25322,Уход за оружием,24351,Засоби,Чистка та догляд > Засоби,ai_deep,high
25327,Несортированние товари,24353,Коробки,Аксесуари > Коробки,ai_deep,high
25331,Запчасти,24476,Запчастини,Релоадинг > Для гладкоствола > Запчастини,ai_deep,high
25333,Матрици,24442,Матриці,Релоадинг > Матриці,ai_deep,high
25335,Калибратори,24478,Калібратори,Релоадинг > Для нарізного > Калібратори,ai_deep,high
25336,Смазка для гильз,24479,Мастило для гільз,Релоадинг > Для нарізного > Мастило для гільз,ai_deep,high
25338,Подготовка гильз,24478,Калібратори,Релоадинг > Для нарізного > Калібратори,ai_deep,high
25342,Молотковие набори,24483,Молоткові набори,Релоадинг > Для нарізного > Молоткові набори,ai_deep,high
25343,Механические дозатори,24485,Механічні дозатори,Релоадинг > Дозатори пороха > Механічні дозатори,ai_deep,high
25344,Єлектронние диспенсери,24486,Єлектронні диспенсери,Релоадинг > Дозатори пороха > Єлектронні диспенсери,ai_deep,high
25345,Другие види дозировки,24487,Інші види дозування,Релоадинг > Дозатори пороха > Інші види дозування,ai_deep,high
25346,Штангенциркули,24488,Вимірювальний інструмент,Релоадинг > Вимірювальний інструмент,ai_deep,high
25347,Компаратори плечей и джампа,24488,Вимірювальний інструмент,Релоадинг > Вимірювальний інструмент,ai_deep,high
25348,Хронографи,24488,Вимірювальний інструмент,Релоадинг > Вимірювальний інструмент,ai_deep,high
25349,Спец. Инструмент,24488,Вимірювальний інструмент,Релоадинг > Вимірювальний інструмент,ai_deep,high
25350,Тигели для свинца,24442,Матриці,Релоадинг > Матриці,ai_deep,high
25351,Пулелейки для нарезного,24442,Матриці,Релоадинг > Матриці,ai_deep,high
25352,Сайзери для пуль,24492,Форми для лиття картечі,Релоадинг > Лиття куль > Форми для лиття картечі,ai_deep,high
25353,Покритие для пуль,24476,Запчастини,Релоадинг > Для гладкоствола > Запчастини,ai_deep,high
25354,Пулелейки для гладкого,24476,Запчастини,Релоадинг > Для гладкоствола > Запчастини,ai_deep,high
25355,Форми для литья картечи,24492,Форми для лиття картечі,Релоадинг > Лиття куль > Форми для лиття картечі,ai_deep,high
25356,Другие аксесуари для литья,24442,Матриці,Релоадинг > Матриці,ai_deep,high
25357,Подставки для гильз,24477,Шелхолдери,Релоадинг > Для нарізного > Шелхолдери,ai_deep,high
25358,Коробки для патронов,24353,Коробки,Аксесуари > Коробки,ai_deep,high
25359,Ящики герметичние,24404,Чохли збройові,Спорядження > Чохли і кейси збройові > Чохли збройові,ai_deep,high
25360,Активние стрелковие наушники,24342,Навушники,Спорядження > Навушники,ai_deep,high
25361,Стрелковие очки,24343,"Окуляри, їх комплектуючі та аксесуари","Спорядження > Окуляри, їх комплектуючі та аксесуари",ai_deep,high
