source_id,source_name,reference_id,reference_name,reference_path,method,confidence
25297,Окуляри,24369,Окуляри,Оптика > Аксесуари та комплектуючі > Окуляри,exact,high
25301,Аксесуари,24393,Аксесуари,Оптика > Приціли та прилади нічного бачення (ПНБ) > Аксесуари,exact,high
25310,Мультитули,24323,Мультитули,Ножі та інструменти > Мультитули,exact,high
25273,Пневматичні гвинтівки,24410,Пружинно-поршневі гвинтівки,Зброя > Пневматична зброя > Пневматичні гвинтівки > Пружинно-поршневі гвинтівки,ai,medium
25274,Пневматичні пістолети,24415,Пружинно-поршневі,Зброя > Пневматична зброя > Пневматичні пістолети > Пружинно-поршневі,ai,medium
25277,Страйкбольна зброя,24386,Страйкбол,Зброя > Пневматична зброя > Страйкбол,ai,medium
25279,Оптика збройова,24392,Оптичні,Оптика > Приціли > Оптичні,ai,medium
25280,"Кобури, підсумки і чохли",24341,Кобури та сумки,Спорядження > Кобури та сумки,ai,medium
25281,"Аксесуари, тюнінг зброї",24313,Інше,Тюнінг > Інше,ai,medium
25282,Кулі для пневматики,24419,Кульки та кулі,Зброя > Пневматична зброя > Набої > Кульки та кулі,ai,medium
25283,Патрони Флобера,24321,Фальшнабої,Набої > Фальшнабої,ai,medium
25284,Холості набої,24320,Набої для холодної пристрілки,Набої > Набої для холодної пристрілки,ai,medium
25285,Кульки BB,24419,Кульки та кулі,Зброя > Пневматична зброя > Набої > Кульки та кулі,ai,medium
25288,Б/В пневматичні гвинтівки,24410,Пружинно-поршневі гвинтівки,Зброя > Пневматична зброя > Пневматичні гвинтівки > Пружинно-поршневі гвинтівки,ai,medium
25289,Б/В пневматичні пістолети,24415,Пружинно-поршневі,Зброя > Пневматична зброя > Пневматичні пістолети > Пружинно-поршневі,ai,medium
25293,Б/У оптика,24392,Оптичні,Оптика > Приціли > Оптичні,ai,medium
25294,Б/В страйкбольна зброя,24386,Страйкбол,Зброя > Пневматична зброя > Страйкбол,ai,medium
25295,Б/В кобури,24341,Кобури та сумки,Спорядження > Кобури та сумки,ai,medium
25299,Головні убори,24359,Аксесуари,Одяг та взуття > Аксесуари,ai,medium
25300,Рукавички,24359,Аксесуари,Одяг та взуття > Аксесуари,ai,medium
25302,Навушники тактичні,24342,Навушники,Спорядження > Навушники,ai,medium
