source_id,source_name,reference_id,reference_name,reference_path,method,confidence
24987,Ретранслятори,24438,Ретранслятори,Зв'язок > Ретранслятори,exact,high
25002,Рації,24437,Рації,Зв'язок > Рації,exact,high
25066,Квадрокоптери AUTEL,24434,Квадрокоптери,Дрони та безпілотники > Квадрокоптери,normalized,high
25069,Антени,24436,Антени,Дрони та безпілотники > Антени,exact,high
25080,Біноклі Konus,24387,Біноклі,Оптика > Прилади спостереження > Біноклі,normalized,high
25081,Біноклі Olympus,24387,Біноклі,Оптика > Прилади спостереження > Біноклі,normalized,high
25082,Біноклі Yukon,24387,Біноклі,Оптика > Прилади спостереження > Біноклі,normalized,high
25083,Біноклі Nikon,24387,Біноклі,Оптика > Прилади спостереження > Біноклі,normalized,high
25084,Біноклі Carl Zeiss,24387,Біноклі,Оптика > Прилади спостереження > Біноклі,normalized,high
25170,Кріплення AGM,24362,Кріплення,Ліхтарі > Аксесуари для ліхтарів > Кріплення,normalized,high
25264,Кріплення INNOMOUNT,24362,Кріплення,Ліхтарі > Аксесуари для ліхтарів > Кріплення,normalized,high
25265,Кріплення ATN Contessa,24362,Кріплення,Ліхтарі > Аксесуари для ліхтарів > Кріплення,normalized,high
25266,Кріплення Pulsar,24362,Кріплення,Ліхтарі > Аксесуари для ліхтарів > Кріплення,normalized,high
25267,Кріплення MAK,24362,Кріплення,Ліхтарі > Аксесуари для ліхтарів > Кріплення,normalized,high
25268,Кріплення NVECTECH / IRAY,24362,Кріплення,Ліхтарі > Аксесуари для ліхтарів > Кріплення,normalized,high
25064,Dji Mavic 3,24434,Квадрокоптери,Дрони та безпілотники > Квадрокоптери,ai,medium
25065,FPV дрони,24435,FPV,Дрони та безпілотники > FPV,ai,medium
25067,Квадрокоптеры DJI Matrice 4,24434,Квадрокоптери,Дрони та безпілотники > Квадрокоптери,ai,medium
25068,Квадрокоптери з тепловізором,24434,Квадрокоптери,Дрони та безпілотники > Квадрокоптери,ai,medium
25079,Старлінк на авто,24440,Starlink,Зв'язок > Starlink,ai,medium
25118,Оптичні приціли Leupold,24392,Оптичні,Оптика > Приціли > Оптичні,ai,medium
25119,Оптичні приціли BURRIS,24392,Оптичні,Оптика > Приціли > Оптичні,ai,medium
25120,Оптичні приціли Vector Optics,24392,Оптичні,Оптика > Приціли > Оптичні,ai,medium
25121,Оптичні приціли HAKKO,24392,Оптичні,Оптика > Приціли > Оптичні,ai,medium
25122,Оптичні приціли VEBER,24392,Оптичні,Оптика > Приціли > Оптичні,ai,medium
25123,Оптичні приціли Yukon,24392,Оптичні,Оптика > Приціли > Оптичні,ai,medium
25124,Оптичні приціли БелОМО,24392,Оптичні,Оптика > Приціли > Оптичні,ai,medium
25125,Оптические прицелы Nikon,24392,Оптичні,Оптика > Приціли > Оптичні,ai,medium
25126,Оптичні приціли VORTEX,24392,Оптичні,Оптика > Приціли > Оптичні,ai,medium
25127,Оптичні приціли Dedal,24392,Оптичні,Оптика > Приціли > Оптичні,ai,medium
25128,Оптичні приціли KONUS,24392,Оптичні,Оптика > Приціли > Оптичні,ai,medium
25129,Оптичні приціли STURMAN,24392,Оптичні,Оптика > Приціли > Оптичні,ai,medium
